text,label,Pattern Category
Your order is reserved for 09:45 minutes!,Dark,Urgency
Your order has been reserved for,Dark,Urgency
"Ends in 1 Days, 4 Minutes, 44 Seconds",Dark,Urgency
OFFER ENDS: 09h: 09m: 55s: 0 ,Dark,Urgency
HURRY UP > 09H 42M 39S,Dark,Urgency
Your order is reserved for 09:43 minutes!,Dark,Urgency
Items reserved for 15:00,Dark,Urgency
Get 20% off Sample Doors! Ã—Offer Ends In 58 : 29 Use Promo Code sample20off,Dark,Urgency
Massive Tax Time Sale See Discounts! Sale ends in,Dark,Urgency
1 day 08:15:25,Dark,Urgency
Your order is reserved for 09:45 minutes!,Dark,Urgency
SAVE 10% On All Orders. No Voucher Code Needed Expires in 18:07:59.,Dark,Urgency
"UP TO 60% OFF SPRING SALE PLUS 10% OFF ALL SHOWERS ENTER CODE SHOWERS10 AT CHECKOUT, MUST END TUESDAY 02DAYS  :  04HOURS  :  13MINS  :  28SECS",Dark,Urgency
Your order is reserved for 09:35 minutes!,Dark,Urgency
"Hurry, Limited Time Offer! 11:25",Dark,Urgency
Time remaining: 04:50,Dark,Urgency
Price Guaranteed For DAYS/HRS/MINS/SECS,Dark,Urgency
Your order is reserved for 09:45 minutes!,Dark,Urgency
Your order is reserved for 09:35 minutes!,Dark,Urgency
"Hurry, Sale ends in 9 Hours!",Dark,Urgency
"Iâ€™ve read and accept the terms & conditions * , I also authorize Bosley to contact me by phone or text utilizing automated dialing equipment, as well as by email or mail with information about appointments, products, services, news or promotions. I also agree to Bosley's Terms of Service. Otherwise, call Bosley at 800-985-6405 to request your FREE information kit or to schedule your FREE no-obligation consultation.",Dark,Forced Action
I accept the Terms & Conditions of the FREE Brother Care Program and agree to receive exclusive offers and general promotions from Brother. I may withdraw my consent at any time.,Dark,Forced Action
I would like to join Backstage Pass & agree to the Terms & Conditions & to receive emails & other promotional offers.,Dark,Forced Action
I agree to receive marketing emails from Natural Life and agree to our Privacy Policy and terms of use.,Dark,Forced Action
"You may change the items in your order, or cancel the Smartship at anytime, up until 3 days prior to the scheduled ship date of your Smartship by calling Customer Service at 1-800-518-0284.",Dark,Obstruction
"If you wish to cancel your subscription, you can email us at getflat@flattummyco.com",Dark,Obstruction
"There is no commitment and no minimum to buy. Please note exact shipment times may vary. To customize this program or future shipments, call customer service anytime at 1-800-THICKEN (844-2536).",Dark,Obstruction
"Members may cancel their Membership at any time during their Membership term and receive a full refund, less any benefits/savings received in their current Membership term (for example, Buyerâ€™s Club Discounts received or free shipping). Refunds for completed years completed will not be made, even if the Member did not use any of the benefits during the Membership term. To cancel your membership, please contact our customer service department by contacting us at 1-800-375-3006.",Dark,Obstruction
"Ketolent subscriptions have no long term contracts. Pause, cancel, or change at any time. Want to swap Vanilla for Chocolate, or set up to renew every 3 weeks? No problem! Send us an email to help@ketolent.com and we'll make the change for you.",Dark,Obstruction
Purchase Benefit Club Member can cancel the Purchase Benefits at any time by calling MDGâ€™s Customer Service department at: 1-800-906-0975 ext. 352 and requesting to cancel the Purchase Benefits.,Dark,Obstruction
"We will also send you an additional email confirming your renewal. Should you elect not to renew your Membership, you may cancel at any time prior to the renewal by emailing us at passportmembership@1800flowers.com and your credit/debit card on file with us will not be charged. A confirmation email will be sent to you. If you email to cancel after your Membership has been renewed, your credit/debit card will have been charged the then current paid annual membership fee for the Passport Program, however you may request, and 1-800-Flowers may grant, a pro-rata refund within its sole discretion based upon the extent that you may have utilized the benefits of the Passport Program and the period of time remaining on your paid Membership.",Dark,Obstruction
"If you wish to cancel a membership, please contact our Customer Services Department on UK: +44 808 164 8264 (standard local call charges will apply) or via email on customer.service@beautypie.com. You can also contact the Customer Services Department by post at: Beauty Pie Limited, Customer Service Department, The Point, 210 New Kings Road, London SW6 5NZ, United Kingdom. Please quote your order number in all correspondence.",Dark,Obstruction
"Prior to the automatic renewal and billing, we will notify you in advance (via the email you used at the time of enrollment) of (i) the pending renewal, (ii) the then current fees and charges applicable to the Passport Program, and (iii) where you may find more information about the Passport Program. We will also send you an additional email confirming your renewal. Should you elect not to renew your Membership, you may cancel at any time prior to the renewal by emailing us at passportmembership@1800flowers.com and your credit/debit card on file with us will not be charged. A confirmation email will be sent to you.",Dark,Obstruction
"To cancel your order before it ships, call us.",Dark,Obstruction
"Exposed Membership (recurring subscription) and Cancellations  If You order with Exposed Membership, you are selecting a recurring billing subscription, where You will receive a new kit approximately every 60 days. You are able to cancel by contacting Exposed customer care at 1-866-404-7656, 8am â€“ 4pm Pacific Time, M-F.  If You are part of our Monthly installment program, You will be billed in two monthly installments for each acne kit shipped. Each kit will be shipped every two months unless your membership is canceled. To cancel Your Exposed Membership, You must: 1. first pay in full for all kits that have been shipped 2. and, then contact Exposed customer care at 1-866-404-7656 8am â€“ 4pm Pacific Time, M-F to process Your cancellation.",Dark,Obstruction
You may cancel your VIP membership at any time by calling 1-866-337-0906 (open 24/7).,Dark,Obstruction
"IF YOU PARTICIPATE IN AN AUTOMATIC RENEWAL SUBSCRIPTION AND YOU HAVE PROVIDED US WITH A VALID CREDIT CARD NUMBER OR AN ALTERNATE PAYMENT METHOD, EACH SHIPMENT WILL BE AUTOMATICALLY PROCESSED AT THE TIME OF EACH SHIPMENT OR INSTALLMENT AND WILL BE BILLED TO THE PAYMENT METHOD YOU PROVIDED TO US AT THE TIME OF YOUR INITIAL PURCHASE AND AGREEMENT TO PARTICIPATE IN THE PROGRAM. IF YOU WISH TO CANCEL YOUR PARTICIPATION IN AN AUTOMATIC RENEWAL SUBSCRIPTION, YOU MAY DO SO AT ANY TIME BY CONTACTING A CUSTOMER CARE PROFESSIONAL AT THE CONTACT INFORMATION PROVIDED ON THE WEBSITE.",Dark,Obstruction
"You may cancel or renew your membership to the VIP Program or find out more information about your VIP Program subscription, including your annual expiration date, by contacting support@grove.co.",Dark,Obstruction
"""No Worry"" Membership Renewal We will bill your credit card on file at the introductory rate of $2.99 per month for the first year, for membership rewards and discounts. At the end of the introductory period, you'll be billed at the regular monthly rate of $3.99 per month. If you don't want your membership renewed, simply contact us and we will cancel your subscription. You will be refunded for the current month's membership fee, less any membership savings you have received. Exclusive Toll-Free Hotline Number Because we want your calls to get top priority, we have a special number for Value Club members only: 1-800-648-4282. Your call will be handled with the utmost promptness, courtesy and efficiency possible.",Dark,Obstruction
"If your JR Plus membership has renewed automatically, you have seven (7) days after payment is taken to cancel your annual membership. You must contact Customer Service at (888) 574-3576 within this window and not have made any eligible purchase using the JR Plus service. You will then be provided with a full refund of your membership fee for the renewal year and the JR Plus service will be cancelled from your account. If you cancel during any renewal year after the seven (7) day window expires, you are not entitled to any refund of the renewal fee, even if you have not made any eligible purchase during the renewal term.",Dark,Obstruction
"You may cancel your JustFab VIP Membership at any time. There is absolutely no cancellation fee. If you would like to continue receiving selections, then just skip the month by clicking Skip This Month in your Boutique between the 1st and the 5th of the month. You won't be charged and no member credit will be generated for you. If you no longer want to skip the month, then call our Fashion Consultants on 020 36953830 (local rate) Mon-Fri 8:00AM to 8:00PM and Sat-Sun 10:00AM to 6:00PM or cancel your membership via chat.",Dark,Obstruction
You may cancel your VIP membership at any time by calling 1-866-337-0906 (open 24/7).,Dark,Obstruction
You may cancel your membership at any time by calling us at at 855-861-2573 (6:00AM â€“ 5:00PM PST) or by emailing support@luckytacklebox.com. California residents may also cancel your subscription by accessing your Account through the Site.,Dark,Obstruction
"You may cancel your Minted More membership at any time by contacting Minted Customer Service at www.minted.com/help. If you cancel your membership before your Minted More gift box has shipped, we will refund your full membership fee; provided that we may charge you (or withhold from your refund) the value of Minted More discount benefits used by you and your account prior to cancellation. If you cancel at any other time, your membership fee is non-refundable.",Dark,Obstruction
We may also disclose your information to third parties who may contact you with details of other products and services which may be of interest. If you do not want your name and mailing details made available in this way please email opt-out@nextdirect.com,Dark,Obstruction
We may also disclose your information to third parties who may contact you with details of other products and services which may be of interest. If you do not want your name and mailing details made available in this way please email opt-out@nextdirect.com,Dark,Obstruction
"When you join the PetPlus Plan, you are given the option to purchase your membership on an annual or monthly basis and you are automatically enrolled in our recurring billing program. You may cancel at any time by contacting our customer service team, but you will not be refunded for any unused days on your membership if you choose to cancel prior to the end of your billing cycle. You may cancel your PetPlus membership at any time without penalty if you have not utilized any of your PetPlus benefits (including discounts on products and/or services). For customers charged on a monthly basis, if you have purchased products or used services using your PetPlus benefits, we will charge a $25 administrative fee per membership cancellation if the membership is cancelled within three months of enrollment.",Dark,Obstruction
"ONLY $1.99 FOR YOUR FIRST SIX MONTHS, THEN EACH YEAR YOUR MEMBERSHIP WILL AUTOMATICALLY RENEW FOR $39.99 AND BE CHARGED TO YOUR CREDIT/DEBIT CARD ON FILE. CANCEL YOUR VIP MEMBERSHIP ANY TIME TO RECEIVE A PRORATED REFUND BY CALLING (800) 543-7309. BY SUBMITTING YOUR ORDER, YOU AGREE TO THESE VIP MEMBERSHIP TERMS.",Dark,Obstruction
"For more information about the VIP Rewards Club Membership, to purchase or terminate a membership, or to start or stop automatic renewal of a membership, contact Ross-Simons Customer Service by postal mail at: Ross-Simons, 9 Ross-Simons Drive, Cranston, Rhode Island 02920; or by email at customerservice@ross-simons.com; or by calling the VIP Rewards Club priority line at 800-835-3799.",Dark,Obstruction
"There's no obligation to buy as an Xtra VIP Member, nor is there any minimum number of months or commitment for membership. You can shop or â€˜Skipâ€™ by the 5th of each month, and you can cancel your membership at any time by calling (855) SAVAGEX (open 24/7).",Dark,Obstruction
You may cancel your VIP membership at any time by calling 1-866-337-0906 (open 24/7).,Dark,Obstruction
"YOU MAY CANCEL YOUR WINE CLUB MEMBERSHIP OR ANY HOLIDAY SHIPMENTS AT ANY TIME BY CONTACTING US AT 1-877-975-9463, AND WE WILL PROMPTLY STOP PROCESSING THE RECURRING PAYMENTS.",Dark,Obstruction
"How do I cancel my membership? We are confident you will enjoy your Premium Membership. If for any reason you are not completely satisfied within the first 30 days of your paid Annual Membership, we will refund 100% of your membership fee no questions asked. After 30 days we will refund your membership fee on a pro-rated basis. There are no refunds on Monthly Memberships. To obtain a refund, please contact us at 1-855-253-0822 or by email at wwgoasubscription@program-director.net.",Dark,Obstruction
"CANCELLATION POLICY: If you are not completely satisfied with Yogi Surprise, you can cancel your membership and discontinue your monthly payments at any time. In order to cancel before you are renewed for the next shipment, you need to contact Yogi Surprise prior to the renewal date on the 14th of each month. Email: support@yogisurprise.com and weâ€™ll respond promptly. If your membership has already renewed and youâ€™d like to cancel an upcoming shipment, you must request cancellation by the 3rd of the month to be eligible for a refund. IF YOU DO NOT CANCEL PRIOR TO THE THIRD DAY OF A CALENDAR MONTH, YOU CANNOT BE REFUNDED FOR THAT MONTHâ€™S SHIPMENT. WE DO NOT OFFER REFUNDS ON BOXES THAT HAVE ALREADY BEEN SHIPPED. To request cancellation, simply click here and submit the contact form or email us: support@yogisurprise.com. Weâ€™ll get back to promptly!",Dark,Obstruction
Merchandise: $69.99iService Charge: $14.99 Total Before Tax: $84.98 Estimated Tax:$5.63Order Total: $90.61,Dark,Sneaking
Order Subtotal $19.99 Standard Delivery $12.99 Care & Handling $2.99 Tax $2.38 Total $38.35 Savings Today $10.00,Dark,Sneaking
Hugs and Kisses Rose Bouquet $44.99 Discount -$6.75 Delivery $13.99 Tax $3.46 Item Total $55.69,Dark,Sneaking
Free 60 day VIP trial membership with this order. Cancel anytime.,Dark,Sneaking
"WOULD YOU LIKE A FREE NEXT DIRECTORY? Explore all the latest collections from your free Next Directory. By opting in to receive the Next Directory you agree that we may send you, at our discretion, further Directories usually in January and July each year, at a charge of Â£3.75 per publication. You also agree to receive supplementary Directories and â€˜New Inâ€™ publications at no additional charge.",Dark,Sneaking
"â—ŠAfter 1 year, subscription auto renews with fee. Review your iFitÂ® Coach account on a computer, tablet, smartphone, or equipment console.",Dark,Sneaking
"Be part of the best family ever & enjoy 15% in VIP Benefits on every order, every day. That's 10% Instant Savings plus 5% back in Rewards Cash on everything. Plus, enjoy 90 days to test run your shoes, socks, and insoles. And so much more! Join today for just $1.99 your first year.  ",Dark,Sneaking
"1 Netflix offer: Not available to customers with an active Netflix offer from Vodafone. Available only on Red+ Lite, Unlimited, Red+ Essentials and Red+ until the 8th of August 2019. Exit fee of $60 applies if you exit or transfer your plan before 6 months. Plan exit fees may also apply. Netflix Offer: One year Netflix â€˜Standardâ€™ plan ($14.99 a month) credit will be applied to your Netflix account on activation. At the end of your credit, you will be charged at your Netflix plan rate unless you cancel your Netflix subscription. Cancel Netflix at any time. Netflix compatible device required. See eligible plans and full Netflix terms.",Dark,Sneaking
Enjoy FREE shipping with WSJwine Advantage,Dark,Sneaking
Selling fast!,Dark,Scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",Dark,Scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",Dark,Scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",Dark,Scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",Dark,Scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",Dark,Scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",Dark,Scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",Dark,Scarcity
Will sell out fast!,Dark,Scarcity
Strong demand! Complete your order before it's too late!,Dark,Scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",Dark,Scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",Dark,Scarcity
Items in your cart are in VERY high-demand.,Dark,Scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",Dark,Scarcity
Items in your cart are in high demand.,Dark,Scarcity
Extremely high demand: expect 2-4 weeks for it to arrive (to be safe). Limit 4 per person!,Dark,Scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",Dark,Scarcity
High demand,Dark,Scarcity
HIGH DEMAND,Dark,Scarcity
"An item you ordered is in high demand. No worries, we have prioritized your order.",Dark,Scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",Dark,Scarcity
This item is in high demand.,Dark,Scarcity
"Sorry, this is out of stock. You just missed it.",Dark,Scarcity
Items in your cart are selling fast,Dark,Scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",Dark,Scarcity
Items in your cart are in high demand. But we have reserved your order.,Dark,Scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",Dark,Scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",Dark,Scarcity
"ONCE IT'S GONE, IT'S GONE",Dark,Scarcity
"ONCE IT'S GONE, IT'S GONE",Dark,Scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",Dark,Scarcity
SELLING FAST! GET 10% OFF THIS ITEM. ACTIVATE NOW.,Dark,Scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",Dark,Scarcity
"Items in your cart are in high demand, but we have reserved your order.",Dark,Scarcity
"Our items sell fast, don't miss out!",Dark,Scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",Dark,Scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",Dark,Scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",Dark,Scarcity
AN ITEM IN YOUR CART IS SELLING OUT QUICKLY,Dark,Scarcity
IN HIGH DEMAND!,Dark,Scarcity
"An item you ordered is in high demand. No worries, we have prioritized your order.",Dark,Scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",Dark,Scarcity
"Hurry, this style is selling fast!",Dark,Scarcity
In demand,Dark,Scarcity
"Due To HIGH Demand, Cart Expires In: 08:41",Dark,Scarcity
Selling Fast,Dark,Scarcity
"Hurry, this style is selling fast!",Dark,Scarcity
LIMITED OFFER: $125 Off + 2 Free Pillows,Dark,Urgency
Sale ends soon,Dark,Urgency
* Limited Time Offer *\nFREE\nTLPWR1 Test Leads!,Dark,Urgency
"Here for a limited time. 4.5"" Red Bottle Sticker w/ Adam's Logo",Dark,Urgency
LIMITED TIME BLOW OUT SALE UP TO 70% OFF! 110% BEST PRICE GUARANTEE!,Dark,Urgency
FREE SHIPPING FOR A LIMITED TIME | PRICES ARE IN USD AND INCLUDE ALL IMPORT DUTIES.,Dark,Urgency
"Flash Sale Alert! You can now buy Utorch Corridor Porch Aisle Lights from Gearbest.com for only $7.99 (47% off). Hurry up, limited time offer!",Dark,Urgency
Limited Time Offer,Dark,Urgency
Limited time offer,Dark,Urgency
Limited time offer,Dark,Urgency
"LIMITED TIME - BUY THE NEW PURPLE PLUSH PILLOW, GET ONE FREE",Dark,Urgency
"Now 30% off - hurry, limited time offer!",Dark,Urgency
LIMITED TIME DEAL!,Dark,Urgency
Wait! Take 10% off Your First Order Deal Expires Soon!,Dark,Urgency
LIMITED TIME SALE,Dark,Urgency
ONLY AVAILABLE FOR A LIMITED TIME,Dark,Urgency
50% OFF for Limited Time Only!!!,Dark,Urgency
"Only available for a LIMITED TIME, so get yours TODAY!",Dark,Urgency
LIMITED TIME OFFER! FREE SHIPPING OVER $99 + FREE RETURNS*,Dark,Urgency
Ends Sunday! $200 off any mattress . free shipping & free returns!,Dark,Urgency
Act now and save $12.99. Limited time only!,Dark,Urgency
"For a limited time, buy 2 Hydroxycut Hardcore Elite, 30 Servings for $30!",Dark,Urgency
(LIMITED TIME OFFER) TORSION GUN HOLSTER SUPER COMBO,Dark,Urgency
ON SALE AT $1.99 FOR A LIMITED TIME,Dark,Urgency
LIMITED TIME: FREE SHIPPING LOWERED TO ORDERS OVER $69.95!,Dark,Urgency
"LIMITED TIME OFFER 10% OFF - ENTER CODE \""CASES\"" AT CHECKOUT",Dark,Urgency
Sale ends soon:,Dark,Urgency
FOR A LIMITED TIME ONLY,Dark,Urgency
Limited Time Promo $194.00,Dark,Urgency
Limited Time Offer!,Dark,Urgency
LIMITED TIME ONLY: FREE SHIPPING TO SELECT COUNTRIES ON ORDERS OVER $100!,Dark,Urgency
Limited Time,Dark,Urgency
$69.50 For A Limited Time Details,Dark,Urgency
FLASH SALE | LIMITED TIME ONLY Shop Now,Dark,Urgency
Limited Time Sale - Buy Now!,Dark,Urgency
LIMITED TIME: $10 OFF! DISCOUNT REFLECTED IN PRICE!,Dark,Urgency
SLEEP EVENT OFFERS - LIMITED TIME ONLY,Dark,Urgency
Limited Time: $10 Off! Discount Reflected In Price!,Dark,Urgency
Limited time offer,Dark,Urgency
Full HD 144Hz IPS Anti-Glare (1920 x 1080) FREE Upgrade (Limited time offer!),Dark,Urgency
On Sale! Limited Time Offer!,Dark,Urgency
Limited Time Offer,Dark,Urgency
Limited Time Offer,Dark,Urgency
FREE SHIPPING // FOR A LIMITED TIME ONLY,Dark,Urgency
Limited Time Offers,Dark,Urgency
Limited time remaining!,Dark,Urgency
Limited Time Remaining!,Dark,Urgency
Limited time - final price reflects extra 29% off,Dark,Urgency
LIMITED TIME! - Save $5 OFF Orders $70+ Coupon: SAVE5 - PLUS - Free Gift on Orders $125+,Dark,Urgency
LIMITED TIME ONLY!,Dark,Urgency
LIMITED TIME ONLY,Dark,Urgency
Free Shipping On Orders Over $49* - Limited Time Only,Dark,Urgency
HURRY! Â£32.99 UK DELIVERY ENDS SOON,Dark,Urgency
"$3,159.20 $3,949.00 Limited time only",Dark,Urgency
Limited Time Only - Up to 30% OFF Freshwater Plants! SHOP NOW >,Dark,Urgency
Limited Time Offer: 10% Off your first order!,Dark,Urgency
FRAMON #2 Code Machine Offer - Limited time offer!,Dark,Urgency
STOCK IS GUARANTEED FOR 60 MINUTES,Dark,Urgency
"Hurry, before it is gone! Limited time remaining!",Dark,Urgency
LIMITED TIME ONLY!,Dark,Urgency
ON SALE: Select Seasonal T-Shirts only $19.99! Limited time only! Save Now!,Dark,Urgency
LIMITED TIME OFFER!,Dark,Urgency
LIMITED TIME ONLY *on select models,Dark,Urgency
Limited Time Offer Limited Offer! 15% off on Naomi Home with Coupon 9N03. You pay $63.74,Dark,Urgency
Limited Time!,Dark,Urgency
Free Shipping. Limited Time Only. for orders over $50,Dark,Urgency
Limited time - Free Shipping on all orders*,Dark,Urgency
Limited Time Offer!,Dark,Urgency
25% OFF SELECTED JACKETS Limited Time,Dark,Urgency
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING OVER $80 HURRY! LIMITED TIME ONLY,Dark,Urgency
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING ON ALL ORDERS OVER $80 ,Dark,Urgency
On Sale! Limited Time Offer!,Dark,Urgency
SAVE $300.00\nfor limited time,Dark,Urgency
"Now 20% off, hurry limited time offer!",Dark,Urgency
Site Wide Savings for the Entire Family! Pricing is off Rogan's Shoes every day Low Prices! Prices are already reflected on the site. Limited time only! Restrictions apply. Online Only.,Dark,Urgency
LIMITED TIME OFFER MEN'S CHINOS & 5-POCKET PANTS BUY 2 FOR $59.90 EACH SHOP NOW,Dark,Urgency
Limited time offer.,Dark,Urgency
Hot Offer. Limited Time,Dark,Urgency
LIMITED TIME OFFER,Dark,Urgency
LAYAWAY SALE WE WILL MATCH YOUR INITIAL PAYMENT. LIMITED TIME ONLY,Dark,Urgency
"Limited time only: FREE SHIPPING on all orders, no minimum required!",Dark,Urgency
20% OFF VALENTINE\u2019S DAY FAVOURITES * | LIMITED TIME ONLY,Dark,Urgency
Limited Time Only Â· Online Only,Dark,Urgency
LIMITED TIME ONLY 10 OFF 50 SPEND NEW CUSTOMERS ONLY - TERMS & CONDITIONS APPLY,Dark,Urgency
Limited Time Only! 20% Off,Dark,Urgency
"Free Upgrade, Limited Time!\n*DISH Install Not Available*",Dark,Urgency
"Rs 4,013 (Retail Discount) + Rs 2,997 (Limited Time Coupon)",Dark,Urgency
SAVE TODAY: Save 20% on lighting by Le Klint. Limited time only.,Dark,Urgency
Only 2 units left in stock,Dark,Scarcity
Low Stock â€“ Selling Fast,Dark,Scarcity
Only 1 left in stock,Dark,Scarcity
Limited Stock,Dark,Scarcity
ONLY 4 LEFT IN STOCK,Dark,Scarcity
Only 1 left,Dark,Scarcity
4 items left,Dark,Scarcity
Only 1 left,Dark,Scarcity
Only 2 left in stock,Dark,Scarcity
Only 2 left in stock,Dark,Scarcity
Low In Stock Today,Dark,Scarcity
Only 1 left in stock,Dark,Scarcity
ONLY 3 LEFT IN STOCK.,Dark,Scarcity
Only 9 items left!,Dark,Scarcity
Only 4 left in stock,Dark,Scarcity
"894 Claimed! Hurry, only a few left!",Dark,Scarcity
Only 1 unit left in stock,Dark,Scarcity
ONLY 1 LEFT! GET IT NOW!,Dark,Scarcity
Limited Stock,Dark,Scarcity
We have 1 left in stock,Dark,Scarcity
Only 1 left!,Dark,Scarcity
Only 15 left in stock,Dark,Scarcity
Only 8 left in stock,Dark,Scarcity
Only 3 left in stock,Dark,Scarcity
Only 14 left in stock,Dark,Scarcity
Only 1 items left,Dark,Scarcity
89% offers claimed. Hurry up!,Dark,Scarcity
ONLY 4 LEFT!,Dark,Scarcity
HURRY! ONLY 19 LEFT IN STOCK.,Dark,Scarcity
Only 1 left,Dark,Scarcity
Only 1 left in stock,Dark,Scarcity
"Order now, only 2 left in stock!",Dark,Scarcity
Only 1 left in stock,Dark,Scarcity
70% offers claimed. Hurry up!,Dark,Scarcity
Low in stock: only 1 left.,Dark,Scarcity
96 ITEM(S) LEFT IN STOCK!,Dark,Scarcity
2 left in stock,Dark,Scarcity
"Hurry, only 3 left!",Dark,Scarcity
Only 1 left in stock!,Dark,Scarcity
Less than 10 left in stock,Dark,Scarcity
Availability: Low in stock today,Dark,Scarcity
Limited Quantity,Dark,Scarcity
Limited stock!,Dark,Scarcity
HURRY! Only a few left in stock!,Dark,Scarcity
80% offers claimed. Hurry up!,Dark,Scarcity
Only 1 left,Dark,Scarcity
70% offers claimed. Hurry up!,Dark,Scarcity
Only 1 left in stock,Dark,Scarcity
Only 11 left!,Dark,Scarcity
Only 1 left!,Dark,Scarcity
Only 14 left!,Dark,Scarcity
Only 14 left!,Dark,Scarcity
Pre-order 3 left,Dark,Scarcity
Only 6 left,Dark,Scarcity
70% offers claimed. Hurry up!,Dark,Scarcity
Only 32 left in stock,Dark,Scarcity
Only few items left in stock,Dark,Scarcity
Only 2 left,Dark,Scarcity
ONLY 1 LEFT IN STOCK!,Dark,Scarcity
Only 2 left in stock,Dark,Scarcity
Only 2 units left!,Dark,Scarcity
ONLY 7 LEFT!,Dark,Scarcity
Only 1 Left in this Size!,Dark,Scarcity
There is only one product left!,Dark,Scarcity
Limited Stock!,Dark,Scarcity
Only 2 units left in stock,Dark,Scarcity
Low in stock: only 1 left.,Dark,Scarcity
Only 69 left!,Dark,Scarcity
HURRY! ONLY 2 LEFT IN STOCK!,Dark,Scarcity
83% offers claimed. Hurry up!,Dark,Scarcity
ONLY 4 LEFT!,Dark,Scarcity
Only 1 left In Stock,Dark,Scarcity
Only 8 left,Dark,Scarcity
Only 4 left at this price,Dark,Scarcity
Only 1 unit left in stock,Dark,Scarcity
90% offers claimed. Hurry up!,Dark,Scarcity
Only 1 Left in Stock!,Dark,Scarcity
Only 4 copies left,Dark,Scarcity
Low in stock: only 1 left.,Dark,Scarcity
Status:Only 3 left in stock,Dark,Scarcity
87% offers claimed. Hurry up!,Dark,Scarcity
Only 1 left,Dark,Scarcity
9 items left,Dark,Scarcity
70% offers claimed. Hurry up!,Dark,Scarcity
6 items left! Order soon.,Dark,Scarcity
Only 1 left in stock!,Dark,Scarcity
HURRY ONLY 9 LEFT IN STOCK!,Dark,Scarcity
Only 1 left in stock - Order soon,Dark,Scarcity
*Only 2 left in stock. Don't miss out!,Dark,Scarcity
Only 2 left in stock,Dark,Scarcity
Limited stock!,Dark,Scarcity
Only 3 left!,Dark,Scarcity
Only one item left in stock!,Dark,Scarcity
Only 1 item left,Dark,Scarcity
Only one item left in stock!,Dark,Scarcity
Only one item left in stock!,Dark,Scarcity
Only 8 items left in stock!,Dark,Scarcity
Only 82 left in stock!,Dark,Scarcity
Only 4 left in stock,Dark,Scarcity
Only 1 left in stock! Get in quick!,Dark,Scarcity
LESS THAN 5 LEFT!,Dark,Scarcity
1 LEFT,Dark,Scarcity
3 items left,Dark,Scarcity
Only 1 left!,Dark,Scarcity
Only 1 Left,Dark,Scarcity
Only 3 left in stock,Dark,Scarcity
Only 9 Left!,Dark,Scarcity
Only 14 left,Dark,Scarcity
1 left at this price,Dark,Scarcity
Only 3 left!,Dark,Scarcity
23% left in stock!,Dark,Scarcity
ONLY 1 LEFT! GET IT NOW!,Dark,Scarcity
83% offers claimed. Hurry up!,Dark,Scarcity
Only 5 left in stock,Dark,Scarcity
Only 1 left,Dark,Scarcity
Only 3 left,Dark,Scarcity
Only 1 left in stock,Dark,Scarcity
Only 1 left!,Dark,Scarcity
Only 2 left!,Dark,Scarcity
Only 1 Left!,Dark,Scarcity
Only 1 Left!,Dark,Scarcity
Only 34 Left!,Dark,Scarcity
70% offers claimed. Hurry up!,Dark,Scarcity
LOW IN STOCK!! GET YOURS NOW,Dark,Scarcity
74% offers claimed. Hurry up!,Dark,Scarcity
Only 5 left in stock,Dark,Scarcity
1 LEFT IN THIS SIZE,Dark,Scarcity
ONLY 3 LEFT! GET IT NOW!,Dark,Scarcity
1 item left,Dark,Scarcity
Please note all products are made in limited quantities and we rarely restock - checkout now so you don't miss out!,Dark,Scarcity
"Hurry, only 1 left!",Dark,Scarcity
Hurry! Only 2 left,Dark,Scarcity
"HURRY, THERE ARE ONLY 9 ITEM(S) LEFT!",Dark,Scarcity
Hurry! Only 1 left in stock,Dark,Scarcity
Only 1 left in online stock,Dark,Scarcity
Only 1 left in stock.,Dark,Scarcity
Hurry! Only 1 left in stock,Dark,Scarcity
"Size low on stock, only 1 item left",Dark,Scarcity
Only 8 left!,Dark,Scarcity
Hurry! Only 2 left at this price!,Dark,Scarcity
ONLY 52 items left in stock!,Dark,Scarcity
Over 500 left in stock,Dark,Scarcity
Hurry only 8 items left!,Dark,Scarcity
72% offers claimed. Hurry up!,Dark,Scarcity
